pygame 2.6.0 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
         559548 function calls (554776 primitive calls) in 16.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 sprite.py:1(<module>)
        1    0.000    0.000    0.003    0.003 plistlib.py:1(<module>)
       27    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       35    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
       82    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       30    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:2591(from_location)
       14    0.000    0.000    0.000    0.000 __init__.py:3168(_find_adapter)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
       19    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
       24    0.000    0.000    0.000    0.000 __init__.py:2026(try_parse)
        1    0.000    0.000    0.013    0.013 specifiers.py:1(<module>)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
       24    0.000    0.000    0.000    0.000 {method 'clear' of 'set' objects}
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
